	new_home_id	old_home_id	floormap_guid_prod	vr_guid_prod	floor_map_guid_new
0	0	0	004069d5-de07-e16a-059f-d49d8e803d34	2d51cfd1-367a-444e-8443-60f5cf2f87d7	9256209c-05be-454d-abb7-77f1bb0e4348
1	1	1	038c649c-aa2f-0941-f324-aeda2d58ef55	c6ec5a37-d85b-4cec-b341-2022ae1b409b	cdc7ab67-df32-44dc-a8f0-aa334ebf5fcd
2	2	2	05cc6a04-d687-9a77-a0f3-d6d8323ac4da	4375674a-6bdd-4456-b25d-9249c5e3ba70	9afddc6f-1969-4aca-9a7d-218b5cab28df
3	3	3	06c10474-f82d-c814-db14-51d6c35fbbdf	707891ba-47e1-4f2b-a5cc-dc712689267f	
4	4	4	07b18dec-98b2-89b9-bc9d-b75c4675b23f	4ab1c700-d75a-409c-9503-cf4f996ccc11	eab9f6f9-fe2e-40c1-9c54-66238611c277
5	5	5	0a2754ba-4021-1201-8afb-cf45e24691ca	5c2993b5-3138-46e1-b3d5-8ef90e9fabfd	54d2b8ea-5bbb-4c02-8054-23b6cffb03fb
6	6	6	1136b35c-6591-b7c8-32b4-d42ba9850c23	2d2341f1-3822-4edd-9c74-8399adecffd7	
7	7	7	18c03093-f169-72f3-2313-faca68b48d4a	f61a7267-e39d-407d-8bf4-51f28aa95eb2	7db39c30-1d1a-494b-8154-2d7cf29aba9b
8	8	8	1b3c7f31-64d3-e4da-d1da-b3a9eec6199e	c66fb4e6-8209-4694-97f2-71873b5156b0	84c9989a-ac9b-4016-ac93-eddee78fbac9
9	9	9	2051c393-7c69-cbdb-d4a5-f7d6447c627a	b53f9595-efde-4bb9-abd8-69343363c09c	f5651a59-9968-41b1-af9f-5a32ed140ebf
10	10	10	22e57425-4bbf-6aaa-2288-3515c9bd67fc	6835dde2-fe11-45a6-818b-bf1b1bd598b3	267aac3d-77b0-4909-b2e5-43c8a82a4649
11	11	11	23d0d5b4-d0be-4862-6b5d-f9228dec96e5	7bd37a2d-1db2-448a-b8fa-22eaa06eb942	a790b172-2606-4628-8343-736447525233
12	12	12	27b316d4-9e8e-310f-9e85-c54c895a840e	41b5e434-8de4-4229-94c3-2c8ccdc8586c	1143d65c-d5a2-4191-b329-b7b87272c428
13	13	13	2854ad9f-89bb-6e66-b714-0d1265e549f1	a8fdb776-e738-4004-84d4-540637798a9d	4e229f71-c1d8-42fe-aa42-0430ed81a6d2
14	14	14	2df185ee-8d5d-45d0-577e-2f563cb1ac3f	482a75ed-715a-46e7-b2ef-e8b955f649fa	5e4968ba-ae7b-48ee-87bd-e26df896fe91
